Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-10-22 03:04:07,2024-10-23 01:04:05,UTC-04:00,2024-10-22 03:04:07,2024-10-22 09:37:18,60,14.3,372,393,182,105,85,21,625,127,94,83.0,False
2024-10-21 03:39:53,2024-10-22 03:04:07,UTC-04:00,2024-10-21 03:39:53,2024-10-21 10:54:53,65,13.6,399,434,228,70,101,35,613,127,91,80.0,False
2024-10-20 04:12:32,2024-10-21 03:39:53,UTC-04:00,2024-10-20 04:12:32,2024-10-20 10:49:33,60,14.9,385,397,211,95,79,12,645,127,97,69.0,False
2024-10-19 02:44:45,2024-10-20 04:12:32,UTC-04:00,2024-10-19 02:44:45,2024-10-19 10:13:01,67,13.8,409,440,234,56,119,31,613,127,93,79.0,False
2024-10-18 03:10:13,2024-10-19 02:44:45,UTC-04:00,2024-10-18 03:10:13,2024-10-18 07:24:01,41,15.1,248,253,131,61,56,5,603,86,97,89.0,False
2024-10-17 02:32:21,2024-10-18 03:10:13,UTC-04:00,2024-10-17 02:32:21,2024-10-17 10:28:12,77,14.2,453,475,178,95,180,22,587,114,95,91.0,False
2024-10-16 02:33:48,2024-10-17 02:32:21,UTC-04:00,2024-10-16 02:33:48,2024-10-16 10:22:02,62,14.0,374,468,220,59,95,64,602,127,79,86.0,False
2024-10-15 03:13:48,2024-10-16 02:33:48,UTC-04:00,2024-10-15 03:13:48,2024-10-15 10:33:08,66,14.5,410,439,340,35,35,29,617,124,93,75.0,False
2024-10-14 02:38:33,2024-10-15 03:13:48,UTC-04:00,2024-10-14 02:38:33,2024-10-14 11:17:40,69,15.2,424,518,200,114,110,94,619,127,82,71.0,False
2024-10-13 02:30:21,2024-10-14 02:38:33,UTC-04:00,2024-10-13 02:30:21,2024-10-13 09:23:43,58,15.3,360,410,242,72,46,50,624,127,88,76.0,False
2024-10-12 03:44:59,2024-10-13 02:30:21,UTC-04:00,2024-10-12 03:44:59,2024-10-12 09:15:21,49,15.3,298,330,179,43,76,32,603,79,90,68.0,False
2024-10-11 01:02:53,2024-10-12 03:44:59,UTC-04:00,2024-10-11 01:02:53,2024-10-11 09:48:44,80,15.4,498,525,320,72,106,27,622,111,94,56.0,False
2024-10-10 03:52:06,2024-10-11 01:02:53,UTC-04:00,2024-10-10 03:52:06,2024-10-10 11:16:14,70,15.6,413,444,219,94,100,31,587,127,93,48.0,False
2024-10-09 02:43:28,2024-10-10 03:52:06,UTC-04:00,2024-10-09 02:43:28,2024-10-09 07:59:23,54,15.5,301,315,166,62,73,14,558,47,95,42.0,False
2024-10-08 00:39:07,2024-10-09 02:43:28,UTC-04:00,2024-10-08 00:39:07,2024-10-08 06:58:22,82,15.1,335,379,201,61,73,44,410,54,88,49.0,False
2024-10-06 23:21:37,2024-10-08 00:39:07,UTC-04:00,2024-10-06 23:21:37,2024-10-07 07:13:08,83,15.1,425,471,229,100,96,46,509,127,90,26.0,False
2024-10-06 04:07:18,2024-10-06 23:21:37,UTC-04:00,2024-10-06 04:07:18,2024-10-06 11:35:15,68,15.6,426,446,133,121,172,20,628,126,95,57.0,False
2024-10-05 03:41:43,2024-10-06 04:07:18,UTC-04:00,2024-10-05 03:41:43,2024-10-05 11:00:40,66,15.0,379,429,237,94,48,50,577,127,88,39.0,False
